	GSM864362	GSM864363	GSM864364	GSM864365	GSM864366	GSM864367	GSM864368	GSM864369	GSM864370	GSM864371	GSM864372	GSM864373	GSM864374	GSM864375	GSM864376
1616608_a_at	8.784230125	9.112671039	8.913368116	8.840302279	8.883663414	8.658322937	9.031970088	8.710807975	8.727693664	9.01847308	8.966510793	8.827600821	8.85823173	8.648825329	8.762454831
1622892_s_at	8.197617813	8.403477849	8.338810738	8.318536143	8.007084213	8.294654166	7.786487969	7.987621594	7.9604238	8.261112862	8.011493165	8.331247552	8.445827916	8.108716828	8.333710387
1622893_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1622894_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179876762	2.179876762	2.179876762
1622895_at	9.127762223	9.172449188	9.183833918	9.096441745	9.006930401	9.177740265	9.184804166	9.080483439	9.08553618	9.262480643	9.259665332	9.20495879	9.164811161	9.12134323	9.16025223
1622896_at	6.175434455	6.606726657	5.80964781	6.767781028	6.700880729	6.689159335	6.966717061	6.364504095	5.777963628	7.045658423	7.210035675	7.053717853	7.031935048	6.915011853	7.08472394
1622897_at	2.202735461	2.202735461	2.202735461	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.202735461	2.231783055	2.202735461	2.184589729	2.195940092	2.195940092
1622898_a_at	10.02641931	10.03855535	9.928079744	10.16293384	10.12981409	10.16523362	9.972835344	10.04993394	10.02314774	10.13070939	10.06429254	10.10322596	10.09413915	10.13826761	10.09544267
1622899_at	2.756438338	2.756438338	2.756438338	2.55989037	2.559722981	2.559722981	2.680021381	2.636802632	2.636802632	2.756438338	2.756438338	2.756438338	3.507944269	3.507944269	3.507944269
1622900_at	2.174091872	2.174091872	2.174091872	2.180423752	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.286979003	2.174091872	2.174091872	2.179869313	2.179869313	2.195402791
1622901_at	3.442189062	3.358906565	3.348704886	3.648235203	3.143389805	3.742008346	2.901293581	3.20944255	2.704233669	3.322070669	3.375648929	3.19761888	3.115896821	3.115896821	3.058499654
1622902_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091919	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1622903_s_at	8.681522295	8.76537568	8.89713218	8.478404	8.601343694	8.623998589	8.773971493	8.624452136	8.563113705	8.715548777	8.873408696	8.932431858	8.66469989	8.65611713	8.687199938
