"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"CG42694",5.287728374,5.616155807,5.589011293,5.842979952,5.21324038,5.580437377,6.219033455,5.99410151,6.290838829,6.376295673,6.56927389,5.874821011,5.19447643,5.365337877,5.18194743
"lncRNA:CR42862",7.52055939,6.566016379,7.585185038,5.686121196,5.666799163,5.315867887,6.005241955,6.145790519,6.749559905,6.941780721,7.124056755,7.293294054,5.65286769,7.012822185,6.274445126
"CG43085",10.52063771,10.80719338,10.25180017,9.57495474,9.395665391,9.652883978,6.887854569,5.880817733,4.79603209,9.98769432,9.70625344,10.09946472,9.543200235,8.896929435,9.270248622
"lncRNA:CR32027",7.329225072,7.089543286,7.242927376,8.677640051,8.935054382,8.909972663,6.127196484,6.410606306,6.619821704,8.72292465,8.67814568,8.833115788,8.459051258,8.833979826,8.870149414
"CG13639",4.615687301,4.569848739,4.609443875,4.218080405,4.367281624,4.186261751,5.015284492,4.993266629,4.993266629,4.597091479,4.388849209,5.202620009,3.89593274,4.017906764,3.913565447
"CG43117",4.399360142,5.019134804,4.438058015,5.79308546,5.704407806,5.768582146,4.973184097,4.978447362,4.468525264,5.079251378,5.534778536,5.097820088,5.488480545,5.76934157,5.835409736
"lncRNA:CR43242",4.407658942,5.263580248,5.038598664,6.387844156,6.540083591,6.514393335,5.88061536,5.812028618,5.621261384,6.695396889,6.56941662,6.371247423,6.888619007,6.986825345,7.112177607
"CG30379",6.113835177,5.900659464,6.291844706,4.878257787,4.965172396,5.288907912,5.866116224,5.500689254,5.47434457,6.346985284,6.335820816,6.590427204,6.058883016,5.777085606,6.325281394
"CG30403",4.099181581,4.303799362,4.182875365,2.906886441,2.906003603,2.800156764,4.554162302,4.565932342,4.326621249,4.229097621,4.26400756,4.055892556,5.652685994,5.330227167,5.974905649
"bru2",4.064662721,4.284916356,4.387487417,3.958014694,4.217920283,4.003324309,3.652879445,3.915868634,4.126814116,4.436865724,4.368403753,3.926213078,3.186775826,2.927559293,3.138357234
