"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"1637146_at",5.287728374,5.616155807,5.589011293,5.842979952,5.21324038,5.580437377,6.219033455,5.99410151,6.290838829,6.376295673,6.56927389,5.874821011,5.19447643,5.365337877,5.18194743
"1632978_at",9.047878609,8.950706912,8.782589666,8.767986624,8.770223684,8.767986624,7.905577776,7.486476899,7.843459523,8.742507567,8.659360093,8.828151918,8.561770606,8.415681882,8.573144881
"1629821_at",7.426537416,7.397923043,7.764799233,7.521651523,7.12347738,7.453060701,7.312216188,7.15467258,7.166833016,7.725496674,7.575714796,7.622786479,7.387161684,7.590055099,7.413154214
"1626074_at",2.703276016,2.703276016,2.655575909,3.16038514,3.084675974,3.262592703,2.934118929,2.934118929,3.443411071,2.703276016,2.703276016,3.282620829,3.083729619,3.083729619,3.494065204
"1627274_at",5.631187728,5.731112416,5.961265377,6.095293401,5.604630685,5.983956751,5.021178434,5.886843682,5.898528778,6.212260121,5.996168821,6.230672544,5.739011499,6.00040344,5.769291428
"1633109_at",7.52055939,6.566016379,7.585185038,5.686121196,5.666799163,5.315867887,6.005241955,6.145790519,6.749559905,6.941780721,7.124056755,7.293294054,5.65286769,7.012822185,6.274445126
"1624766_s_at",11.49200916,11.55995409,11.49488863,11.80160167,11.69938377,11.63571007,11.20513149,11.16891821,11.10742483,11.65391254,11.54949184,11.62488437,11.4467191,11.35621047,11.26430063
"1639902_at",7.231446323,7.484569167,7.200286514,7.502891837,7.085608444,7.048486268,6.530397594,6.737791947,6.797068659,7.383509401,7.356422171,7.353225527,7.156875007,6.971602645,7.188072041
"1631508_a_at",2.988254897,3.111141689,3.080963225,3.134940264,2.909378459,2.910457529,2.746415759,2.646862032,3.6885257,2.972698322,3.003425092,2.742063616,2.709546913,2.743734861,2.69185756
"1623284_at",2.430594559,2.843679677,2.53918289,3.259900398,2.742298838,3.122849645,2.782454332,2.761719722,2.718399879,2.647432351,2.569351585,2.61667993,3.210754937,3.082077854,3.354829514
"1628213_s_at",11.63181058,11.93537555,11.68346351,11.78652746,11.81821303,11.72126096,11.43458291,11.62116752,11.55403378,11.6061632,11.79129334,11.54448934,11.51570864,11.40338118,11.39063551
"1623096_a_at",3.824980666,3.969641009,3.846464156,2.881288629,2.932973528,2.897123894,3.303370765,3.373921733,3.284455943,3.814689814,3.831180625,3.690550615,3.965171355,3.822996878,3.833530988
"1640654_at",7.849509889,5.663972796,5.543986753,3.914164937,4.804150396,4.681724096,4.929913727,5.076602681,6.187859876,6.286758555,5.938695077,5.330819999,5.784491471,5.021536669,5.503179915
"1639896_at",10.52063771,10.80719338,10.25180017,9.57495474,9.395665391,9.652883978,6.887854569,5.880817733,4.79603209,9.98769432,9.70625344,10.09946472,9.543200235,8.896929435,9.270248622
"1633520_at",7.329225072,7.089543286,7.242927376,8.677640051,8.935054382,8.909972663,6.127196484,6.410606306,6.619821704,8.72292465,8.67814568,8.833115788,8.459051258,8.833979826,8.870149414
"1625121_at",3.401465451,3.126117764,2.846869393,3.027785931,3.163483779,2.883730227,2.874089003,2.959954638,2.968027159,3.185159478,3.146104704,3.264250224,2.804795531,2.771391644,2.792233255
"1637394_s_at",2.530266719,2.452593623,2.492353277,3.095075345,2.331230659,3.127648911,2.429216557,2.568424953,2.61752596,2.450634518,2.310200361,2.752398247,2.722300735,2.798007898,2.722879685
"1628668_at",4.615687301,4.569848739,4.609443875,4.218080405,4.367281624,4.186261751,5.015284492,4.993266629,4.993266629,4.597091479,4.388849209,5.202620009,3.89593274,4.017906764,3.913565447
"1624862_at",4.399360142,5.019134804,4.438058015,5.79308546,5.704407806,5.768582146,4.973184097,4.978447362,4.468525264,5.079251378,5.534778536,5.097820088,5.488480545,5.76934157,5.835409736
"1629152_at",12.27767447,11.9128941,12.35573375,12.52796807,12.33208024,12.45870158,12.11409973,12.41250505,12.50331152,12.35797071,12.0199473,12.10982752,12.12485479,12.40962679,12.20866925
"1640778_at",4.407658942,5.263580248,5.038598664,6.387844156,6.540083591,6.514393335,5.88061536,5.812028618,5.621261384,6.695396889,6.56941662,6.371247423,6.888619007,6.986825345,7.112177607
"1633882_at",3.518744368,3.529309423,3.523431431,3.158769999,3.158769999,3.158769999,3.267567491,3.267567491,3.553981375,3.518744368,3.518744368,3.518536425,3.676115945,3.699147837,3.640883209
"1641674_at",4.896991854,4.917328372,4.903477397,5.034281301,5.091514012,5.029056619,4.466855323,4.45316574,4.455917997,4.95452208,5.384015217,4.952206554,5.027319714,4.903685401,5.037997926
"1641593_at",4.030784134,4.1786044,4.354780457,4.545990216,4.345990981,4.694669789,4.293390665,4.435990301,4.321084333,3.993271565,4.542691793,4.606042978,4.37597626,4.412616883,3.940844766
"1637914_at",6.843648063,6.658815944,6.49976116,6.66046707,6.409339185,6.531687619,6.96813531,6.965150182,6.700152708,6.783800344,6.347966464,6.711167035,6.793918334,6.432006325,6.854884564
