"","PROBEID","SYMBOL","ENTREZID","GENENAME","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1622896_at","pinta","42635","prolonged depolarization afterpotential (PDA) is not apparent","1622896_at",0.291283249666667,6.67999317266667,1.19165918481522,0.256059864511634,0.401017865509811,-6.56560600336932
"2","1622901_at","CG9993","37358","uncharacterized protein","1622901_at",-0.414446686,3.24560236273333,-2.82546209607053,0.0150903059500055,0.0456760267345803,-3.985948885854
"3","1622906_at","Sod3","36232","Superoxide dismutase 3","1622906_at",-0.295106719666665,7.6773574572,-2.93046859282048,0.0124003962025876,0.0392528809440682,-3.79269312659475
"4","1622909_at","Pi3K21B","33203","Pi3K21B","1622909_at",-0.281653076666666,10.1574149397333,-3.49839594451137,0.00429226412013539,0.017439739803433,-2.7337089606149
"5","1622922_at","Nlg4","42402","Neuroligin 4","1622922_at",-0.781455876,2.5791043216,-9.39288511242293,6.15426470190483e-07,2.59053515518847e-05,6.409552705618
"6","1622926_at","CG5776","34680","uncharacterized protein","1622926_at",0.316133357666667,5.80339247306667,2.22667528094805,0.0455385519796576,0.109577140701051,-5.05022585822917
"7","1622937_at","CG13698","40000","uncharacterized protein","1622937_at",-0.185168983666667,8.47946417846667,-1.23741909351067,0.23921791673766,0.381633051894197,-6.51223623979434
"8","1622949_at","peb","31391","pebbled","1622949_at",-0.255569747000001,8.3821125394,-1.91893865141392,0.0786857892365761,0.166942900954214,-5.5570119558337
"9","1622957_s_at","Drep3","36292","DNA fragmentation factor-related protein 3","1622957_s_at",0.315972067333334,10.1038425994667,1.79136702747435,0.0980547415136847,0.197927633605309,-5.75552958934067
"10","1622968_at","p115","31698","p115","1622968_at",0.308514077000002,9.27220954393333,5.51458080402657,0.000125361055786883,0.0011956642088193,0.890949397452992
"11","1622983_a_at","Nup154","34527","Nucleoporin 154kD","1622983_a_at",0.107354628000005,9.54715611186667,1.19377803581705,0.255260001866809,0.400524764360594,-6.56316970120356
"12","1622989_at","CG5611","43318","uncharacterized protein","1622989_at",5.9676333336256e-05,5.97108360486667,0.000844318434563368,0.999339979836826,0.999656627485697,-7.28879883557542
"13","1622990_at","CG5381","34389","uncharacterized protein","1622990_at",0.477211075666667,2.93885469966667,3.22449311751354,0.00715272569867166,0.0259553506100074,-3.24621516179484
"14","1622991_s_at","Ret","43875","Ret oncogene","1622991_s_at",0.265738901333334,3.46392669926667,1.57256511027903,0.141380631589216,0.25829783213377,-6.07674981136138
"15","1622992_at","twe","34954","twine","1622992_at",-0.211926539,5.29585167946667,-1.84228979788343,0.089857332407979,0.184687238549472,-5.67720354995862
"16","1622997_at","CG34367","5740879","uncharacterized protein","1622997_at",-0.603566181666666,2.56619051393333,-13.1835733429134,1.39592328300352e-08,1.56093143524284e-06,10.2758469065153
"17","1623006_at","SerT","37895","Serotonin transporter","1623006_at",0.223480225,3.65190186813333,2.64439711497743,0.0211465863093915,0.0598205851064058,-4.31559171029784
"18","1623015_at","Nup43","42209","Nucleoporin 43kD","1623015_at",0.0291048649999954,9.4984240892,0.355495522933859,0.728288800861828,0.830238440070198,-7.22109596386503
"19","1623016_at","CG1299","38496","uncharacterized protein","1623016_at",-0.343801676666668,6.83528892846667,-2.01038425283136,0.06702804625463,0.148705229814383,-5.41024500849377
"20","1623023_at","Slip1","43809","Slip1","1623023_at",0.146800940000002,10.5389759306667,0.960952220162608,0.355234499928523,0.507684615787391,-6.80952804251731
"21","1623031_a_at","RecQ4","53438","RecQ4 helicase","1623031_a_at",0.0308654376666668,5.41938297006667,0.136396783633733,0.89373242886871,0.934895055645632,-7.27878846075356
"22","1623035_at","NaPi-T","36651","Na[+]-dependent inorganic phosphate cotransporter","1623035_at",0.332854612,2.69413420986667,1.84476388703825,0.0894753209400165,0.184090919822035,-5.67336636356387
"23","1623039_at","chk","35578","chaski","1623039_at",-0.257707862333334,8.69762345913333,-3.31184824852408,0.00607563268041583,0.0225921936066817,-3.08292398327774
"24","1623041_at","FANCI","35895","Fanconi anemia complementation group I","1623041_at",-0.220933818000001,6.06518281846667,-1.72102763639438,0.110482014216242,0.21518090874553,-5.86159816832918
"25","1623065_at","CG13692","33216","uncharacterized protein","1623065_at",0.608506311666666,2.47818881373333,7.01195746911962,1.29095299069547e-05,0.000236949918117768,3.25284908924742
"26","1623066_at","Irk3","35131","Inwardly rectifying potassium channel 3","1623066_at",-0.272560570666667,2.94038088986667,-3.0897087257587,0.00920429931296307,0.0316880838942469,-3.49749181494313
"27","1623070_a_at","Shaw","33599","Shaker cognate w","1623070_a_at",-0.0701666206666665,3.02798818633333,-1.08870386593851,0.297322421327719,0.449758928668716,-6.67978486326997
"28","1623080_at","Ude","42953","Uracil-DNA degrading factor","1623080_at",-0.253089906,3.95624738373333,-0.758186523922872,0.46273393503707,0.609195593374491,-6.98634397538123
"29","1623083_at","CG1698","36006","uncharacterized protein","1623083_at",0.344386749999999,5.1481589886,2.08985510305851,0.0582174578495191,0.132799591649791,-5.27994632614846
"30","1623087_at","RhoGEF64C","38578","Rho guanine nucleotide exchange factor at 64C","1623087_at",0.813837999333335,6.24673267306667,9.10049642254667,8.65483603844074e-07,3.33211187479968e-05,6.05721130333514
"31","1623088_at","ntc","38443","nutcracker","1623088_at",-0.143916849666667,6.5947562672,-1.37826366760967,0.192872140788655,0.326311547947366,-6.33840428000639
"32","1623092_at","Pcp","33985","Pupal cuticle protein","1623092_at",-1.09045718066667,5.671233688,-4.1064714345885,0.00140713419588979,0.00730645173753957,-1.60128777321238
"33","1623096_a_at","Tsp68C","117407","Tetraspanin 68C","1623096_a_at",0.970104390000001,3.5514893732,15.152061733145,2.79931352365282e-09,7.2285870565194e-07,11.8785708694419
"34","1623101_at","Cbp80","44409","cap binding protein 80","1623101_at",-1.068820496,8.1500025614,-5.90404168169104,6.7373983618168e-05,0.000760757740675613,1.53529558616749
"35","1623103_at","firl","34627","firelighter","1623103_at",0.0664559676666663,5.8015558202,0.201890036717271,0.843329826557889,0.904038119675129,-7.26688665622078
"36","1623104_at","SMC5","326215","Structural maintenance of chromosomes 5","1623104_at",-0.197157558999999,5.2826188106,-3.01219163105997,0.0106417088986549,0.0351789266942969,-3.6414686619272
"37","1623109_at","CG4593","31649","uncharacterized protein","1623109_at",-0.446890372,9.11340198566667,-6.29037806472144,3.71590622098523e-05,0.000486768296251052,2.15355597226314
"38","1623121_at","CG5521","43242","uncharacterized protein","1623121_at",0.653120616666667,3.55432959393333,4.47536294739285,0.000728532435656113,0.00446597456187641,-0.926651883947228
"39","1623124_at","CG7376","38715","uncharacterized protein","1623124_at",-0.0733663203333341,7.05999297713333,-0.655887404536852,0.524072946941387,0.665381762314251,-7.06114871156912
"40","1623138_at","pds5","36286","precocious dissociation of sisters 5","1623138_at",-0.212018086666665,10.5608379573333,-2.19393391282566,0.0483108175580526,0.114330772886636,-5.10577941644415
"41","1623154_a_at","CG1271","38364","uncharacterized protein","1623154_a_at",0.419052583000002,5.30044599066667,5.25378929361849,0.000192269610492516,0.00159316315045898,0.447830238541569
"42","1623160_at","Mmp1","37949","Matrix metalloproteinase 1","1623160_at",-0.611646156000001,9.42933216426667,-2.40446685676315,0.032939793871274,0.0853083915107563,-4.74290043450189
"43","1623166_at","CG6071","39308","uncharacterized protein","1623166_at",-0.269074699000001,2.60196860806667,-2.12055057903768,0.0551134307900595,0.12709503360425,-5.22897924722163
"44","1623180_a_at","Hr3","36073","Hormone receptor 3","1623180_a_at",-0.0343246853333339,7.00516401546667,-0.0646978504408124,0.949462569207438,0.969354141921372,-7.28654551986438
"45","1623208_at","Sox100B","45039","Sox100B","1623208_at",0.502696613666667,4.3361602788,4.27437564279312,0.0010407753618889,0.00588840110660083,-1.29267366494615
"46","1623216_s_at","Aldh7A1","40097","Aldehyde dehydrogenase 7 family member A1","1623216_s_at",0.447820798666666,6.0042273898,2.23454248257542,0.0448952374732879,0.108359529589579,-5.03682569498545
"47","1623218_s_at","Alh","40850","Alhambra","1623218_s_at",0.0944256066666682,10.3031165539333,1.29766749746252,0.218400165668474,0.356878531581455,-6.43960596309771
"48","1623226_at","CG10154","39509","uncharacterized protein","1623226_at",0.729384510333333,2.9410099052,1.17981342497091,0.260567779711991,0.406820511537641,-6.57916336808319
"49","1623234_s_at","Calx","42481","Na/Ca-exchange protein","1623234_s_at",0.105226386666667,2.50111463973333,1.46395842306119,0.168489817004717,0.294857179758256,-6.2259680207117
"50","1623238_at","CG5618","40241","uncharacterized protein","1623238_at",-0.255446795333332,8.0309439174,-1.74659017318146,0.105811841764839,0.20989023289532,-5.82334381337219
"51","1623241_s_at","NT5E-2","246458","Ecto-5'-nucleotidase 2","1623241_s_at",-0.130724455333334,5.63581233213333,-0.455028194322527,0.657079847462728,0.775472885865151,-7.17824083512488
"52","1623254_s_at","smash","40583","smallish","1623254_s_at",-0.202695095333334,5.1694567604,-1.20652246980185,0.250490226511832,0.395201221937958,-6.54844391803623
"53","1623256_at","GstE1","37106","Glutathione S transferase E1","1623256_at",0.0332772489999975,9.4907664054,0.341748423749415,0.738354539029147,0.837881121392889,-7.22620643238432
"54","1623267_at","unc79","42310","uncoordinated 79","1623267_at",0.124528042,6.60749760293333,0.945429241815212,0.362787786922891,0.513827296238478,-6.82435433165106
"55","1623276_at","CG31663","33363","uncharacterized protein","1623276_at",-0.146379983999999,6.02526421206667,-1.03652661018365,0.320064238429701,0.471394303245341,-6.73441525661593
"56","1623284_at","prt","117368","portabella","1623284_at",0.174204474666666,2.8454804074,1.33713041009595,0.205576209846644,0.341581102360976,-6.39061972130419
"57","1623291_at","CG31673","35348","uncharacterized protein","1623291_at",-0.363015117666666,9.22795542126667,-3.97294322842614,0.00179243721295737,0.00897479765423976,-1.84829819549936
"58","1623296_at","CG32625","318128","uncharacterized protein","1623296_at",-0.135485902999999,5.04694785233333,-0.532187958351739,0.604152325423791,0.730769690177359,-7.13803247300031
"59","1623299_at","Mmp2","35997","Matrix metalloproteinase 2","1623299_at",0.358465335,8.82439261253333,2.66268080508603,0.0204400134434578,0.0584502920661199,-4.28254715275857
"60","1623305_at","gny","34409","garnysstan","1623305_at",0.250758719,2.6334454374,2.96511038346771,0.0116220627299393,0.0376858836875662,-3.72866869498759
