"","PROBEID","SYMBOL","ENTREZID","GENENAME","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1622896_at","pinta","42635","prolonged depolarization afterpotential (PDA) is not apparent","1622896_at",0.733409055666666,6.67999317266667,3.00042531938236,0.0108786962347496,0.0266646304449569,-3.92843812358385
"2","1622901_at","CG9993","37358","uncharacterized protein","1622901_at",0.360122892666666,3.24560236273333,2.45511332947886,0.0300128825357049,0.0596291190467088,-4.92203682409112
"3","1622906_at","Sod3","36232","Superoxide dismutase 3","1622906_at",0.212473125,7.6773574572,2.10990051441127,0.05617240712528,0.0992025948936466,-5.51659888105871
"4","1622909_at","Pi3K21B","33203","Pi3K21B","1622909_at",0.309485914666668,10.1574149397333,3.84410595320652,0.00226772605449978,0.00803186610186571,-2.34689703377561
"5","1622922_at","Nlg4","42402","Neuroligin 4","1622922_at",-0.307823206333333,2.5791043216,-3.6999504397183,0.00295563409740774,0.00990909391862069,-2.61692931146638
"6","1622926_at","CG5776","34680","uncharacterized protein","1622926_at",0.221991478,5.80339247306667,1.56358993651318,0.143469003048336,0.212943884637328,-6.36134454836398
"7","1622937_at","CG13698","40000","uncharacterized protein","1622937_at",-0.295169434666667,8.47946417846667,-1.97251336074073,0.0716479519356931,0.121478964843694,-5.74193555544724
"8","1622949_at","peb","31391","pebbled","1622949_at",0.330477986333333,8.3821125394,2.48138517512588,0.0285951887261461,0.0575366544349542,-4.87542786278597
"9","1622957_s_at","Drep3","36292","DNA fragmentation factor-related protein 3","1622957_s_at",-0.257954025666667,10.1038425994667,-1.46244046216926,0.168898015756939,0.242810125566783,-6.50031213942132
"10","1622968_at","p115","31698","p115","1622968_at",-0.211606726666668,9.27220954393333,-3.78239594194886,0.00253951915986787,0.00882958368689743,-2.46238668701014
"11","1622983_a_at","Nup154","34527","Nucleoporin 154kD","1622983_a_at",0.261528688666667,9.54715611186667,2.90818579583071,0.0129282313976292,0.0305726041365658,-4.0995344706683
"12","1622989_at","CG5611","43318","uncharacterized protein","1622989_at",-0.262093302999999,5.97108360486667,-3.70817365825084,0.00291116637878852,0.00979803012562405,-2.60150405507764
"13","1622990_at","CG5381","34389","uncharacterized protein","1622990_at",0.532068454,2.93885469966667,3.59516188003871,0.00358707949215959,0.0114503639603112,-2.81365873208147
"14","1622991_s_at","Ret","43875","Ret oncogene","1622991_s_at",-0.00384821699999982,3.46392669926667,-0.0227726229039814,0.982199859493373,0.989092490086309,-7.56306482516853
"15","1622992_at","twe","34954","twine","1622992_at",0.228087206000001,5.29585167946667,1.98277542125829,0.0703678633652253,0.12021176658226,-5.72536566528618
"16","1622997_at","CG34367","5740879","uncharacterized protein","1622997_at",-0.427771444666667,2.56619051393333,-9.34372465865158,6.51362875690262e-07,2.07712383692339e-05,6.16538123303678
"17","1623006_at","SerT","37895","Serotonin transporter","1623006_at",0.772881148333334,3.65190186813333,9.14534911924807,8.20933118092145e-07,2.4920056286701e-05,5.92264135175858
"18","1623015_at","Nup43","42209","Nucleoporin 43kD","1623015_at",0.191510952,9.4984240892,2.33917202601049,0.0371203682658255,0.0710522152863548,-5.125648194833
"19","1623016_at","CG1299","38496","uncharacterized protein","1623016_at",0.468821343666669,6.83528892846667,2.74143819145047,0.0176521613805315,0.0389321203049095,-4.40626012311518
"20","1623023_at","Slip1","43809","Slip1","1623023_at",0.0428378966666667,10.5389759306667,0.28041490680461,0.783857342638719,0.836308763335734,-7.52105476371592
"21","1623031_a_at","RecQ4","53438","RecQ4 helicase","1623031_a_at",0.336173063666668,5.41938297006667,1.48557506696076,0.162766801589861,0.236472523064515,-6.46909139639009
