"","PROBEID","SYMBOL","ENTREZID","GENENAME","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1622896_at","pinta","42635","prolonged depolarization afterpotential (PDA) is not apparent","1622896_at",0.0925803699999994,6.67999317266667,0.378752463007542,0.71138039983893,0.79329845365295,-6.9582176927923
"2","1622901_at","CG9993","37358","uncharacterized protein","1622901_at",0.201681727333333,3.24560236273333,1.37495146010255,0.193870540389686,0.313935725722893,-6.09172727665888
"3","1622906_at","Sod3","36232","Superoxide dismutase 3","1622906_at",0.410932469,7.6773574572,4.080641388088,0.00147436425309153,0.00969701655627074,-1.42200345536858
"4","1622909_at","Pi3K21B","33203","Pi3K21B","1622909_at",0.214125026666668,10.1574149397333,2.6596340923185,0.0205561264086351,0.0636232265412361,-4.04558617625403
"5","1622922_at","Nlg4","42402","Neuroligin 4","1622922_at",-0.110367926666666,2.5791043216,-1.32659218148398,0.208939067324337,0.330968708250343,-6.15267035075153
"6","1622926_at","CG5776","34680","uncharacterized protein","1622926_at",-0.103342004666667,5.80339247306667,-0.727886133160023,0.480419895992031,0.602576722942726,-6.75638635418163
"7","1622937_at","CG13698","40000","uncharacterized protein","1622937_at",-0.221995991,8.47946417846667,-1.48352101149256,0.163303428951849,0.278825811358025,-5.94921411996404
"8","1622949_at","peb","31391","pebbled","1622949_at",0.502418739666666,8.3821125394,3.77239775074407,0.00258660454715861,0.0144274038080914,-1.99051498725498
"9","1622957_s_at","Drep3","36292","DNA fragmentation factor-related protein 3","1622957_s_at",-0.0985002980000029,10.1038425994667,-0.558436027344964,0.586649295157348,0.68900737530199,-6.86947765709028
"10","1622968_at","p115","31698","p115","1622968_at",0.0573826399999984,9.27220954393333,1.02569454238666,0.324942461559337,0.453511649488429,-6.49317980391284
"11","1622983_a_at","Nup154","34527","Nucleoporin 154kD","1622983_a_at",0.0649100363333304,9.54715611186667,0.721796322360814,0.484024017688618,0.604148065737013,-6.76092882174963
"12","1622989_at","CG5611","43318","uncharacterized protein","1622989_at",-0.143752592000001,5.97108360486667,-2.03385423762502,0.0643049595087744,0.143215155898508,-5.12476401965012
"13","1622990_at","CG5381","34389","uncharacterized protein","1622990_at",0.263555312333333,2.93885469966667,1.78083102852494,0.0998326167414945,0.194430333777235,-5.52274544012529
"14","1622991_s_at","Ret","43875","Ret oncogene","1622991_s_at",-0.248893991333333,3.46392669926667,-1.47288185871563,0.166107018019928,0.28235570918013,-5.96351617621012
"15","1622992_at","twe","34954","twine","1622992_at",0.0867631306666672,5.29585167946667,0.754236969158581,0.465015841242285,0.589912523729522,-6.73632910355457
"16","1622997_at","CG34367","5740879","uncharacterized protein","1622997_at",0.0872934610000002,2.56619051393333,1.90673331344106,0.0803753337977841,0.1670473527318,-5.32825557102818
"17","1623006_at","SerT","37895","Serotonin transporter","1623006_at",-0.00957486966666643,3.65190186813333,-0.113297531013393,0.91163762060169,0.941458936290329,-7.02789289604907
